Date,Client name,Order Quantity,Material
12/25/2019,c1,48,12311290
12/25/2019,c1,96,12311304
12/25/2019,c1,48,12311278
12/25/2019,c1,96,12323382
12/25/2019,c1,144,12222902
12/25/2019,c1,48,12222904
12/25/2019,c1,48,12223554
12/25/2019,c1,144,12222901
12/25/2019,c1,192,12222910
12/25/2019,c1,144,12222900
12/25/2019,c1,144,12222906
12/25/2019,c1,48,12222889
12/25/2019,c1,210,12141370
12/25/2019,c1,210,12141371
12/25/2019,c1,360,12321920
12/25/2019,c1,8,11250532
12/25/2019,c1,34,12382707
12/25/2019,c1,96,12216834
12/25/2019,c1,144,12216835
12/25/2019,c1,192,12216837
12/25/2019,c1,144,12216836
12/25/2019,c1,48,12173501
12/25/2019,c1,48,12173496
12/25/2019,c1,96,12173498
12/25/2019,c1,96,12173500
12/25/2019,c1,96,12173499
12/25/2019,c1,72,12267183
12/25/2019,c1,48,12261564
12/25/2019,c1,32,415841
12/25/2019,c1,90,12321979
12/25/2019,c1,126,12395525
12/25/2019,c1,70,12394956
12/25/2019,c1,96,12280926
12/25/2019,c1,95,11251099
12/25/2019,c1,64,11254203
12/25/2019,c1,60,11001248
12/25/2019,c1,1,12078564
12/25/2019,c1,196,12304755
12/25/2019,c1,196,12304754
12/25/2019,c1,50,12263948
12/25/2019,c1,24,12383091
12/25/2019,c1,24,12322797
12/25/2019,c1,16,12322798
12/25/2019,c1,16,12321939
12/25/2019,c1,24,12232429
12/25/2019,c1,108,12280940
12/25/2019,c1,108,12293783
12/25/2019,c1,108,12293891
12/25/2019,c1,112,12329692
12/25/2019,c1,60,12293768
12/25/2019,c1,80,12293763
12/25/2019,c1,160,12293771
12/25/2019,c1,80,12293764
12/27/2019,c1,6,12366017
12/27/2019,c1,4,12350045
12/27/2019,c1,13,12412279
12/27/2019,c1,27,12412292
12/27/2019,c1,7,12320397
12/27/2019,c1,1,12370392
12/27/2019,c1,12,12349855
12/27/2019,c1,6,12349852
12/27/2019,c1,7,12350032
12/25/2019,c1,108,12192541
12/25/2019,c1,160,11250767
12/25/2019,c1,126,11001186
12/25/2019,c1,126,12042081
12/25/2019,c1,35,12083611
12/25/2019,c1,60,12102901
12/25/2019,c1,60,12102902
12/25/2019,c1,60,12149564
12/25/2019,c1,126,12042082
12/25/2019,c1,104,12246740
12/25/2019,c1,128,12246759
12/25/2019,c1,10,12007380
12/25/2019,c1,150,9602324
12/25/2019,c1,150,9602315
12/25/2019,c1,150,9602063
12/25/2019,c1,150,9602323
12/25/2019,c1,144,9602321
12/25/2019,c1,144,12095362
12/25/2019,c1,150,12159741
12/25/2019,c1,150,12409210
12/25/2019,c1,150,12409709
12/25/2019,c1,150,12409158
12/25/2019,c1,217,12159736
12/25/2019,c1,129,12263374
12/25/2019,c1,16,12322580
12/25/2019,c1,16,12322582
12/25/2019,c1,35,12384954
12/25/2019,c1,35,12384956
12/25/2019,c1,35,12384992
12/25/2019,c1,66,12320258
12/25/2019,c1,156,12403274
12/25/2019,c1,70,12321901
12/27/2019,c1,80,12293787
12/27/2019,c1,116,12159415
12/27/2019,c1,240,12321920
12/27/2019,c1,25,12409211
12/27/2019,c1,300,12409208
12/27/2019,c1,9,12375991
12/27/2019,c1,30,12246757
12/27/2019,c1,64,12095075
12/27/2019,c1,18,11250398
12/27/2019,c1,51,12131456
12/27/2019,c1,3,12246749
12/27/2019,c1,1,12412450
12/27/2019,c1,2,12412443
12/27/2019,c1,4,12412439
12/27/2019,c1,1,12412438
12/27/2019,c1,4,12412444
12/27/2019,c1,32,12262742
12/27/2019,c1,52,12366065
12/27/2019,c1,5,12407292
12/27/2019,c1,18,12191186
12/27/2019,c1,15,12349854
12/27/2019,c1,3,12350033
12/27/2019,c1,46,12230523
12/27/2019,c1,11,12230524
12/27/2019,c1,38,12246726
12/27/2019,c1,16,12322423
12/27/2019,c1,15,12366008
12/27/2019,c1,12,12381483
12/27/2019,c1,24,12412256
12/27/2019,c1,27,12293725
12/27/2019,c1,27,12293726
12/27/2019,c1,8,12366033
12/27/2019,c1,9,12311239
12/27/2019,c1,32,12311288
12/27/2019,c1,10,12311236
12/27/2019,c1,28,12322313
12/27/2019,c1,10,12322315
12/27/2019,c1,15,12321166
12/27/2019,c1,29,12349828
12/27/2019,c1,4,12397826
12/27/2019,c1,1,12353675
12/27/2019,c1,20,12349826
12/27/2019,c1,18,12349829
12/27/2019,c1,32,12322319
12/27/2019,c1,12,12322345
12/27/2019,c1,60,12321929
1/8/2020,c1,28,12382707
1/8/2020,c1,144,12350013
1/8/2020,c1,144,12292602
1/8/2020,c1,816,12173498
1/8/2020,c1,0,12173498
1/8/2020,c1,144,12267183
12/27/2019,c1,31,12407348
12/27/2019,c1,24,12407460
12/27/2019,c1,48,12409855
12/27/2019,c1,48,12407347
12/27/2019,c1,23,12407346
12/27/2019,c1,24,12407637
12/27/2019,c1,24,12407777
12/27/2019,c1,20,12407354
12/27/2019,c1,20,12407455
12/27/2019,c1,40,12407351
12/27/2019,c1,20,12407355
